  193  [016000077 01AD 00]:16  
  194  [303111100 0166 51]:15  [303011100 0166 51]:01  000100000
  195  [6160100A0 0065 00]:16  
  196  [616011060 0065 11]:16  
  197  [303111100 0166 51]:16  
  198  [605010323 010C 00]:16  
  199  [602010314 010C 01]:16  
  19A  [646311000 0066 33]:16  
  19B  [601010308 01EC 00]:16  
  19C  [003000000 0190 00]:16  
  19D  [706010374 010C 10]:16  
  19E  [013200020 010C 02]:16  
  19F  [706010380 0094 10]:16  
  1A0  [006101000 010E 00]:16  
  1A1  [02051000A 01B0 10]:16  
  1A2  [000000000 0094 10]:16  
  1A3  [006101000 010E 00]:16  
  1A4  [5152100A0 01B2 10]:16  
  1A5  [515210040 01B2 11]:16  
  1A6  [201010003 016C 00]:16  
  1A7  [0110000F0 0000 07]:16  
  1A8  [000000000 016C 21]:16  
  1A9  [61060107B 01B3 11]:16  
  1AA  [000000680 016D 20]:16  
  1AB  [0106010FB 01B3 11]:13  [01060107B 01B3 11]:02  [0106010DB 01B3 11]:01  0000000C0
  1AC  [610611010 011A 04]:16  
  1AD  [000000000 006C 22]:16  
  1AE  [000000000 016D 21]:16  
  1AF  [6166110E0 011A 14]:16  
  1B0  [006000000 011A 11]:16  
  1B1  [006000000 011A 11]:16  
  1B2  [000000000 001A 01]:16  
  1B3  [000000000 0118 10]:16  
  1B4  [014000420 006E 01]:16  
  1B5  [61001006D 006D 54]:16  
  1B6  [0120000D0 006D 11]:16  
  1B7  [003000000 0167 00]:16  
  1B8  [003000000 0167 00]:16  
  1B9  [6400105E0 006E 54]:16  
  1BA  [0130000F0 01B4 11]:16  
  1BB  [006000000 011E 00]:16  
  1BC  [006000003 01B5 11]:16  
  1BD  [016000024 01B5 11]:16  
  1BE  [0060002B8 0000 07]:16  
  1BF  [006000007 01B5 11]:16  
  1C0  [006000003 0070 10]:16  
  1C1  [000000004 0070 10]:16  
  1C2  [1010002B0 0070 33]:16  
  1C3  [016000027 01B5 11]:16  
  1C4  [000000720 0122 01]:16  
  1C5  [000000670 0122 00]:16  
  1C6  [000000680 0122 00]:16  
  1C7  [005000000 0071 22]:16  
  1C8  [000000000 0122 10]:16  
  1C9  [000000000 0122 10]:16  
  1CA  [00000000C 0122 10]:16  
  1CB  [00510000C 01B7 00]:16  
  1CC  [000000000 0128 10]:16  
  1CD  [2106010E0 0128 14]:13  [0106010E0 0128 14]:03  200000000
  1CE  [006000360 11B8 11]:16  
  1CF  [00100000C 01B9 00]:16  
  1D0  [015000090 0075 22]:16  
  1D1  [000000000 0076 22]:16  
  1D2  [015000060 0077 22]:16  
  1D3  [004000000 0078 22]:16  
  1D4  [015000010 0078 00]:16  
  1D5  [014000020 0078 00]:16  
  1D6  [015000060 0078 00]:16  
  1D7  [0150000E0 0078 00]:16  
  1D8  [015000090 0078 00]:16  
  1D9  [015000050 0078 00]:16  
  1DA  [015000040 0078 00]:16  
  1DB  [0150000D0 0078 00]:16  
  1DC  [0150000C0 0078 00]:16  
  1DD  [015000000 0078 00]:16  
  1DE  [014000010 0078 00]:16  
  1DF  [014000030 0074 33]:16  
  1E0  [000000F10 0000 07]:16  
  1E1  [014000020 0076 01]:16  
  1E2  [005000000 0078 00]:16  
  1E3  [015000020 0078 00]:16  
  1E4  [0132010E0 0000 07]:16  
  1E5  [0132010E3 0000 07]:16  
  1E6  [000000000 007A 33]:16  
  1E7  [000000004 0079 10]:16  
  1E8  [014000030 007B 22]:16  
  1E9  [014000020 007B 12]:16  
  1EA  [014000020 0176 21]:16  
  1EB  [000000680 00A2 00]:16  
